stage,stage_name,klass,feature,coef
2,部位,血管,L_uRBC,0.9409094540972223
2,部位,血管,L_uRBC_dys,0.33381797367731286
2,部位,血管,L_uRBC_acan,0.03845007397837156
2,部位,血管,L_uRBC_cast,0.5301952218322555
2,部位,血管,L_uWBC,-0.20679531715764785
2,部位,血管,L_NLR,1.0068379376286272
2,部位,血管,L_CRP,-0.11066484477952669
2,部位,血管,L_SBP,0.2831401975036697
2,部位,血管,L_alb,0.27107943205277557
2,部位,血管,L_eos,-0.23515675808706865
2,部位,血管,L_PLT,-0.7277949773728984
2,部位,血管,S_Cr,0.20534771255731435
2,部位,血管,S_BUN,0.03197147988562981
2,部位,血管,S_UPCR,0.06826174580169649
2,部位,血管,S_uRBC,-0.11381796791614752
2,部位,血管,S_uRBC_dys,1.132904901022018
2,部位,血管,S_uRBC_acan,0.026979896941182017
2,部位,血管,S_uRBC_cast,0.02341549198545657
2,部位,血管,S_uWBC,0.07712002868050874
2,部位,血管,S_NLR,-0.38379343965108936
2,部位,血管,S_CRP,0.16054011304420007
2,部位,血管,S_SBP,-0.07801574747462343
2,部位,血管,S_alb,-0.010460059405460137
2,部位,血管,S_eos,-0.017358043088646597
2,部位,血管,S_PLT,-0.25127554307009353
2,部位,血管,R_Cr_UPCR,0.40404478312239783
2,部位,血管,R_UPCR_alb,0.36851872157059656
2,部位,血管,R_UPCR_uRBC,-0.096146841568304
2,部位,血管,R_BUN_Cr,0.4812139090981409
2,部位,血管,R_CRP_alb,0.7989187270847068
3,表現型,孤立血尿,L_Cr,-0.47019780665210076
3,表現型,孤立血尿,L_BUN,-0.5988522237066697
3,表現型,孤立血尿,L_UPCR,-1.6819389112592174
3,表現型,孤立血尿,L_uRBC,1.4177265561615193
3,表現型,孤立血尿,L_uWBC,-0.14299875665706524
3,表現型,孤立血尿,L_NLR,0.02494645899966877
3,表現型,孤立血尿,L_CRP,-0.1373542002138426
3,表現型,孤立血尿,L_SBP,-0.2789723775711382
3,表現型,孤立血尿,L_alb,0.8305623241916011
3,表現型,孤立血尿,L_eos,-0.07028515418805147
